"GeneID"	"GeneName"	"Family_Subfamily"	"ProteinClass"	"GO_MF"	"GO_BP"	"GO_CC"
"SORBI_3002G126700"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G123800"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G002400"	"J domain-containing protein"	"HEAT SHOCK PROTEIN (PTHR24078:SF301)"	"chaperone(PC00072)"	"unfolded protein binding(GO:0051082);protein-folding chaperone binding(GO:0051087)"	"protein folding(GO:0006457);chaperone cofactor-dependent protein refolding(GO:0051085)"	"endoplasmic reticulum(GO:0005783);cytosol(GO:0005829)"
"SORBI_3004G020000"	"Eukaryotic translation initiation factor 3 subunit J"	"EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT J (PTHR21681:SF0)"	"translation initiation factor(PC00224)"	"translation initiation factor activity(GO:0003743)"	"formation of cytoplasmic translation initiation complex(GO:0001732);cytoplasmic translational initiation(GO:0002183);translation(GO:0006412);translational initiation(GO:0006413)"	"cytoplasm(GO:0005737);eukaryotic translation initiation factor 3 complex(GO:0005852);eukaryotic 43S preinitiation complex(GO:0016282);eukaryotic 48S preinitiation complex(GO:0033290)"
"SORBI_3010G071600"	"BHLH domain-containing protein"	"OS06G0193400 PROTEIN (PTHR16223:SF62)"	"basic helix-loop-helix transcription factor(PC00055)"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)"	"regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)"	"nucleus(GO:0005634)"
"SORBI_3007G096401"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3002G345100"	"Protein kinase domain-containing protein"	"OS07G0569550 PROTEIN (PTHR27007:SF419)"	NA	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);carbohydrate binding(GO:0030246)"	NA	"plasma membrane(GO:0005886)"
"SORBI_3004G102100"	"Protein kinase domain-containing protein"	"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR48056:SF78)"	"transmembrane signal receptor(PC00197)"	"protein kinase activity(GO:0004672);3-phosphoinositide-dependent protein kinase activity(GO:0004676);DNA-dependent protein kinase activity(GO:0004677);AMP-activated protein kinase activity(GO:0004679);eukaryotic translation initiation factor 2alpha kinase activity(GO:0004694);ribosomal protein S6 kinase activity(GO:0004711);ATP binding(GO:0005524);receptor serine/threonine kinase binding(GO:0033612);histone H3S10 kinase activity(GO:0035175);histone H3T11 kinase activity(GO:0035402);histone H3T6 kinase activity(GO:0035403);histone H2AXS139 kinase activity(GO:0035979);histone H3S28 kinase activity(GO:0044022);histone H4S1 kinase activity(GO:0044023);histone H2AS1 kinase activity(GO:0044024);histone H2BS14 kinase activity(GO:0044025);histone H3T3 kinase activity(GO:0072354);histone H2AS121 kinase activity(GO:0072371);Rho-dependent protein serine/threonine kinase activity(GO:0072518);histone H2BS36 kinase activity(GO:0140823);histone H3S57 kinase activity(GO:0140855);histone H3T45 kinase activity(GO:0140857);histone H2AT120 kinase activity(GO:1990244)"	"chromatin remodeling(GO:0006338)"	"membrane(GO:0016020)"
"SORBI_3009G128700"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3006G210266"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3008G096000"	"Auxin response factor"	"AUXIN RESPONSE FACTOR 24 (PTHR31384:SF40)"	NA	"DNA binding(GO:0003677)"	"regulation of DNA-templated transcription(GO:0006355);response to hormone(GO:0009725);auxin-activated signaling pathway(GO:0009734)"	"nucleus(GO:0005634)"
"SORBI_3010G032900"	"1-deoxy-D-xylulose-5-phosphate synthase"	"1-DEOXY-D-XYLULOSE-5-PHOSPHATE SYNTHASE (PTHR43322:SF3)"	"transferase(PC00220)"	"1-deoxy-D-xylulose-5-phosphate synthase activity(GO:0008661);transketolase or transaldolase activity(GO:0016744);metal ion binding(GO:0046872)"	"isoprenoid biosynthetic process(GO:0008299);thiamine biosynthetic process(GO:0009228);terpenoid biosynthetic process(GO:0016114);1-deoxy-D-xylulose 5-phosphate biosynthetic process(GO:0052865)"	NA
"SORBI_3006G182500"	"Uncharacterized protein"	"OS04G0568400 PROTEIN (PTHR14221:SF34)"	NA	NA	NA	NA
"SORBI_3007G005300"	"RING-type domain-containing protein"	"RECEPTOR HOMOLOGY REGION, TRANSMEMBRANE DOMAIN- AND RING DOMAIN-CONTAINING PROTEIN 2 (PTHR22765:SF338)"	"ubiquitin-protein ligase(PC00234)"	"zinc ion binding(GO:0008270);ubiquitin protein ligase activity(GO:0061630)"	"ubiquitin-dependent protein catabolic process(GO:0006511);protein transport(GO:0015031)"	"protein storage vacuole(GO:0000326);cytoplasm(GO:0005737);vacuole(GO:0005773);vacuolar membrane(GO:0005774);endomembrane system(GO:0012505);membrane(GO:0016020);intracellular membrane-bounded organelle(GO:0043231)"
"SORBI_3003G174500"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3002G025700"	"Protein kinase domain-containing protein"	"OS02G0299000 PROTEIN (PTHR27007:SF416)"	NA	"protein kinase activity(GO:0004672);transmembrane receptor protein serine/threonine kinase activity(GO:0004675);ATP binding(GO:0005524);kinase activity(GO:0016301);carbohydrate binding(GO:0030246)"	"defense response to oomycetes(GO:0002229);cell surface receptor protein serine/threonine kinase signaling pathway(GO:0007178);defense response to bacterium(GO:0042742)"	"plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3006G048500"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3008G087400"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3006G080700"	"Cellulose synthase-like protein H1"	"CELLULOSE SYNTHASE-LIKE PROTEIN B1-RELATED (PTHR13301:SF53)"	"DNA-binding transcription factor(PC00218)"	"glycosyltransferase activity(GO:0016757);cellulose synthase activity(GO:0016759);cellulose synthase (UDP-forming) activity(GO:0016760)"	"plant-type primary cell wall biogenesis(GO:0009833);cellulose biosynthetic process(GO:0030244);cell wall organization(GO:0071555);plant-type cell wall organization or biogenesis(GO:0071669)"	"plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020)"
"SORBI_3007G190466"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3002G092600"	"Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein"	"LATE EMBRYOGENESIS ABUNDANT PROTEIN LEA-2 SUBGROUP DOMAIN-CONTAINING PROTEIN (PTHR31415:SF80)"	NA	NA	"defense response to other organism(GO:0098542)"	"plasma membrane(GO:0005886);plasmodesma(GO:0009506);membrane(GO:0016020)"
"SORBI_3003G159400"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3005G049800"	"Alginate lyase 2 domain-containing protein"	"ALGINATE LYASE 2 DOMAIN-CONTAINING PROTEIN (PTHR33681:SF15)"	NA	NA	NA	NA
"SORBI_3006G078000"	"Uncharacterized protein"	"OS04G0422700 PROTEIN (PTHR34662:SF3)"	NA	NA	NA	NA
"SORBI_3002G080100"	"NAC25"	"NAC DOMAIN-CONTAINING PROTEIN 67 (PTHR31719:SF80)"	"DNA-binding transcription factor(PC00218)"	"DNA binding(GO:0003677)"	"regulation of DNA-templated transcription(GO:0006355)"	NA
"SORBI_3007G118025"	"CCHC-type domain-containing protein"	"OS11G0296500 PROTEIN (PTHR23002:SF89)"	"RNA metabolism protein(PC00031)"	"nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)"	"positive regulation of cytoplasmic translation(GO:2000767)"	"cytoplasm(GO:0005737)"
"SORBI_3009G022500"	"ABC transporter domain-containing protein"	"OS05G0120200 PROTEIN (PTHR48041:SF40)"	"ATP-binding cassette (ABC) transporter(PC00003)"	"ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled transmembrane transporter activity(GO:0042626);ABC-type transporter activity(GO:0140359)"	"transmembrane transport(GO:0055085)"	"membrane(GO:0016020)"
"SORBI_3006G216100"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G002301"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G410100"	"Protein kinase domain-containing protein"	"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR24056:SF358)"	"non-receptor serine/threonine protein kinase(PC00167)"	"protein kinase activity(GO:0004672);ATP binding(GO:0005524);RNA polymerase II CTD heptapeptide repeat kinase activity(GO:0008353);kinase activity(GO:0016301)"	"positive regulation of transcription elongation by RNA polymerase II(GO:0032968)"	"cyclin-dependent protein kinase holoenzyme complex(GO:0000307);nucleus(GO:0005634)"
"SORBI_3003G280100"	"Uncharacterized protein"	"OS01G0510200 PROTEIN (PTHR34278:SF11)"	NA	NA	NA	NA
"SORBI_3003G085600"	"AP2_ERF domain-containing protein"	"ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF118-LIKE (PTHR31190:SF502)"	NA	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3001G146900"	"Uncharacterized protein"	"KINESIN-LIKE PROTEIN (PTHR47383:SF6)"	NA	NA	NA	NA
"SORBI_3003G157200"	"Importin subunit alpha"	"IMPORTIN SUBUNIT ALPHA-7 (PTHR23316:SF104)"	"transporter(PC00227)"	"nuclear localization sequence binding(GO:0008139);nuclear import signal receptor activity(GO:0061608)"	"NLS-bearing protein import into nucleus(GO:0006607);protein transport(GO:0015031)"	"nucleus(GO:0005634)"
"SORBI_3002G097000"	"Uncharacterized protein"	"VACUOLE MEMBRANE PROTEIN KMS1 (PTHR34965:SF2)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3002G355000"	"WRKY domain-containing protein"	"WRKY TRANSCRIPTION FACTOR PROTEIN 1-RELATED (PTHR31221:SF193)"	"DNA-binding transcription factor(PC00218)"	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3004G155900"	"HMA domain-containing protein"	"OS02G0510600 PROTEIN (PTHR46195:SF34)"	NA	"metal ion binding(GO:0046872)"	NA	NA
"SORBI_3001G181400"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G153400"	"protein-serine_threonine phosphatase"	"PROTEIN PHOSPHATASE 2C 55-RELATED (PTHR13832:SF662)"	"protein phosphatase(PC00195)"	"phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);myosin phosphatase activity(GO:0017018);calmodulin-dependent protein phosphatase activity(GO:0033192);cation binding(GO:0043169);metal ion binding(GO:0046872);histone H2AXS140 phosphatase activity(GO:0140791);RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity(GO:0180004);RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity(GO:0180005);RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity(GO:0180006);RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity(GO:0180007);RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity(GO:0180008);MAP kinase serine/threonine phosphatase activity(GO:1990439)"	"chromatin remodeling(GO:0006338);regulation of transcription by RNA polymerase II(GO:0006357);signal transduction(GO:0007165)"	NA
"SORBI_3006G239800"	"glycerol kinase"	"GLYCEROL KINASE (PTHR10196:SF69)"	"carbohydrate kinase(PC00065)"	"glycerol kinase activity(GO:0004370);ATP binding(GO:0005524);kinase activity(GO:0016301)"	"response to molecule of bacterial origin(GO:0002237);carbohydrate metabolic process(GO:0005975);glycerol metabolic process(GO:0006071);glycerol-3-phosphate metabolic process(GO:0006072);triglyceride metabolic process(GO:0006641);response to bacterium(GO:0009617);response to microbial phytotoxin(GO:0010188);glycerol catabolic process(GO:0019563);defense response to bacterium(GO:0042742);glycerol-3-phosphate biosynthetic process(GO:0046167)"	"mitochondrion(GO:0005739)"
"SORBI_3003G057800"	"Rho termination factor N-terminal domain-containing protein"	"RHO TERMINATION FACTOR (PTHR34449:SF2)"	NA	NA	"DNA-templated transcription termination(GO:0006353)"	NA
"SORBI_3001G263500"	"Glucan endo-1,3-beta-D-glucosidase"	"GLYCOSYL HYDROLASES FAMILY 17 PROTEIN, EXPRESSED (PTHR32227:SF270)"	"glucosidase(PC00108)"	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	"carbohydrate metabolic process(GO:0005975)"	"plasma membrane(GO:0005886)"
"SORBI_3001G436900"	"Autophagy-related protein 9"	"AUTOPHAGY-RELATED PROTEIN 9 (PTHR13038:SF10)"	NA	NA	"mitophagy(GO:0000423);lipid transport(GO:0006869);autophagy(GO:0006914);catabolic process(GO:0009056);protein localization to phagophore assembly site(GO:0034497);piecemeal microautophagy of the nucleus(GO:0034727);reticulophagy(GO:0061709)"	"phagophore assembly site(GO:0000407);autophagosome(GO:0005776);membrane(GO:0016020);phagophore assembly site membrane(GO:0034045)"
"SORBI_3003G390900"	"Fungal lipase-like domain-containing protein"	"PHOSPHOLIPASE A1 EG1, CHLOROPLASTIC_MITOCHONDRIAL (PTHR31403:SF58)"	"phospholipase(PC00186)"	"phospholipase activity(GO:0004620);phospholipase A1 activity(GO:0008970)"	"lipid metabolic process(GO:0006629);lipid catabolic process(GO:0016042)"	"chloroplast(GO:0009507)"
"SORBI_3001G454900"	"Protein DETOXIFICATION"	"PROTEIN DETOXIFICATION 42 (PTHR42893:SF4)"	"transporter(PC00227)"	"antiporter activity(GO:0015297);xenobiotic transmembrane transporter activity(GO:0042910)"	"xenobiotic transport(GO:0042908);transmembrane transport(GO:0055085)"	"membrane(GO:0016020)"
"SORBI_3010G089600"	"Trehalose 6-phosphate phosphatase"	"TREHALOSE-PHOSPHATE PHOSPHATASE 8-RELATED (PTHR43768:SF10)"	"phosphatase(PC00181)"	"trehalose-phosphatase activity(GO:0004805);hydrolase activity(GO:0016787)"	"trehalose biosynthetic process(GO:0005992)"	NA
"SORBI_3006G201100"	"Major facilitator superfamily (MFS) profile domain-containing protein"	"OS04G0597501 PROTEIN (PTHR11654:SF139)"	"transporter(PC00227)"	"transmembrane transporter activity(GO:0022857)"	"transmembrane transport(GO:0055085)"	"membrane(GO:0016020)"
"SORBI_3001G195000"	"Protein kinase domain-containing protein"	"OS10G0516200 PROTEIN (PTHR27001:SF543)"	NA	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)"	"signal transduction(GO:0007165)"	"plasma membrane(GO:0005886)"
"SORBI_3006G172550"	"Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein"	"BIFUNCTIONAL INHIBITOR_PLANT LIPID TRANSFER PROTEIN_SEED STORAGE HELICAL DOMAIN-CONTAINING PROTEIN (PTHR31731:SF173)"	NA	NA	NA	NA
"SORBI_3008G056800"	"PIR2-like helical domain-containing protein"	"PIR2-LIKE HELICAL DOMAIN-CONTAINING PROTEIN (PTHR33120:SF16)"	NA	NA	NA	NA
"SORBI_3009G013800"	"Pentatricopeptide (PPR) repeat-containing protein"	"OS03G0158900 PROTEIN (PTHR24015:SF1849)"	NA	"RNA binding(GO:0003723)"	"RNA modification(GO:0009451)"	"intracellular membrane-bounded organelle(GO:0043231)"
"SORBI_3009G132700"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G097500"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3005G072500"	"Amino acid transporter transmembrane domain-containing protein"	"ACID CARRIER, PUTATIVE, EXPRESSED-RELATED (PTHR48017:SF198)"	NA	"amino acid transmembrane transporter activity(GO:0015171)"	"amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)"	"plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3005G155800"	"Actin-related protein 2_3 complex subunit 5"	"ACTIN-RELATED PROTEIN 2_3 COMPLEX SUBUNIT 5 (PTHR12644:SF0)"	"actin or actin-binding cytoskeletal protein(PC00041)"	"actin filament binding(GO:0051015)"	"regulation of actin filament polymerization(GO:0030833);Arp2/3 complex-mediated actin nucleation(GO:0034314)"	"cytoplasm(GO:0005737);cytoskeleton(GO:0005856);Arp2/3 protein complex(GO:0005885);actin cytoskeleton(GO:0015629)"
"SORBI_3007G067900"	"Uncharacterized protein"	"OS08G0190700 PROTEIN (PTHR31071:SF12)"	NA	NA	NA	NA
"SORBI_3001G532700"	"Uncharacterized protein"	"WD REPEAT-CONTAINING PROTEIN 44 (PTHR14221:SF0)"	NA	NA	NA	NA
"SORBI_3005G029300"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3006G212500"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3007G144300"	"Uncharacterized protein"	"TREHALOSE 6-PHOSPHATE PHOSPHATASE (PTHR10788:SF24)"	NA	"catalytic activity(GO:0003824)"	"trehalose metabolic process(GO:0005991);trehalose biosynthetic process(GO:0005992)"	NA
"SORBI_3008G053000"	"Protein kinase domain-containing protein"	"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR45974:SF285)"	"transmembrane signal receptor(PC00197)"	"protein kinase activity(GO:0004672);ATP binding(GO:0005524)"	NA	"membrane(GO:0016020)"
"SORBI_3003G240000"	"DUF538 family protein"	"OS01G0652700 PROTEIN (PTHR31676:SF160)"	NA	NA	NA	NA
"SORBI_3008G026900"	"Uncharacterized protein"	"OS11G0245800 PROTEIN (PTHR34630:SF34)"	NA	NA	NA	NA
"SORBI_3001G424200"	"non-specific serine_threonine protein kinase"	"NON-SPECIFIC SERINE_THREONINE PROTEIN KINASE (PTHR47982:SF25)"	"transmembrane signal receptor(PC00197)"	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)"	NA	"plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3009G040100"	"Uncharacterized protein"	"MYB PROTEIN1 (PTHR44042:SF17)"	NA	"DNA binding(GO:0003677)"	NA	NA
"SORBI_3002G174500"	"F-box domain-containing protein"	"OS07G0554500 PROTEIN (PTHR31264:SF29)"	NA	NA	NA	NA
"SORBI_3001G295100"	"PRA1 family protein"	"PRA1 FAMILY PROTEIN (PTHR38519:SF3)"	NA	NA	"vesicle-mediated transport(GO:0016192)"	"endoplasmic reticulum(GO:0005783);membrane(GO:0016020)"
"SORBI_3008G053500"	"Uncharacterized protein"	"OS12G0170300 PROTEIN (PTHR10361:SF66)"	"primary active transporter(PC00068)"	NA	NA	"chloroplast envelope(GO:0009941);membrane(GO:0016020)"
"SORBI_3010G116500"	"Uncharacterized protein ycf33"	"SUBFAMILY NOT NAMED (PTHR36049:SF3)"	NA	NA	NA	"plastid(GO:0009536);membrane(GO:0016020)"
"SORBI_3007G110300"	"Uncharacterized protein"	"OS08G0355400 PROTEIN (PTHR31549:SF63)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3001G148200"	"NusB_RsmB_TIM44 domain-containing protein"	"ANTITERMINATION NUSB DOMAIN-CONTAINING PROTEIN (PTHR11078:SF3)"	NA	"RNA binding(GO:0003723);mRNA binding(GO:0003729)"	"DNA-templated transcription termination(GO:0006353);regulation of DNA-templated transcription(GO:0006355);transcription antitermination(GO:0031564)"	NA
"SORBI_3001G148000"	"WRKY domain-containing protein"	"OS03G0657400 PROTEIN (PTHR31221:SF261)"	"DNA-binding transcription factor(PC00218)"	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3001G149901"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3006G082800"	"NB-ARC domain-containing protein"	"OS04G0431700 PROTEIN (PTHR33463:SF194)"	NA	NA	NA	NA
"SORBI_3009G086800"	"NAC domain-containing protein"	"NAC DOMAIN-CONTAINING PROTEIN (PTHR31744:SF223)"	NA	"DNA binding(GO:0003677)"	"regulation of DNA-templated transcription(GO:0006355)"	NA
"SORBI_3008G114200"	"Uncharacterized protein"	"SUBFAMILY NOT NAMED (PTHR23159:SF64)"	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	NA	NA	NA
"SORBI_3010G268800"	"Uncharacterized protein"	"UPF0496 PROTEIN 2-RELATED (PTHR31113:SF20)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3003G252750"	"RNase H type-1 domain-containing protein"	"RNASE H TYPE-1 DOMAIN-CONTAINING PROTEIN (PTHR46736:SF113)"	NA	NA	NA	NA
"SORBI_3008G018200"	"Sugar phosphate transporter domain-containing protein"	"OS12G0154000 PROTEIN (PTHR11132:SF329)"	"secondary carrier transporter(PC00258)"	"UDP-galactose transmembrane transporter activity(GO:0005459);antiporter activity(GO:0015297)"	"transmembrane transport(GO:0055085);UDP-galactose transmembrane transport(GO:0072334)"	"Golgi apparatus(GO:0005794);membrane(GO:0016020)"
"SORBI_3006G161300"	"Uncharacterized protein"	"VACUOLAR-PROCESSING ENZYME BETA-ISOZYME 1 (PTHR12000:SF25)"	"cysteine protease(PC00081)"	"endopeptidase activity(GO:0004175);cysteine-type endopeptidase activity(GO:0004197);cysteine-type peptidase activity(GO:0008234)"	"proteolysis(GO:0006508);vacuolar protein processing(GO:0006624);proteolysis involved in protein catabolic process(GO:0051603);protein storage vacuole organization(GO:1990019)"	"protein storage vacuole(GO:0000326)"
"SORBI_3009G030200"	"Uncharacterized protein"	"HOMEOBOX PROTEIN KNOTTED-1-LIKE 10 (PTHR11850:SF330)"	"homeodomain transcription factor(PC00119)"	"DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677)"	"regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)"	"nucleus(GO:0005634)"
"SORBI_3006G074900"	"Clp R domain-containing protein"	"PROTEIN SMAX1-LIKE 3 (PTHR43572:SF31)"	"chaperone(PC00072)"	NA	NA	NA
"SORBI_3003G130600"	"Phosphoribosyl-AMP cyclohydrolase domain-containing protein"	"HISTIDINE BIOSYNTHESIS BIFUNCTIONAL PROTEIN HIS7 (PTHR42945:SF1)"	"hydrolase(PC00121)"	"phosphoribosyl-AMP cyclohydrolase activity(GO:0004635);phosphoribosyl-ATP diphosphatase activity(GO:0004636);ATP binding(GO:0005524);hydrolase activity(GO:0016787)"	"L-histidine biosynthetic process(GO:0000105)"	NA
"SORBI_3001G091500"	"Uncharacterized protein"	"SIGMA NON-OPIOID INTRACELLULAR RECEPTOR 1 (PTHR10868:SF1)"	"transmembrane signal receptor(PC00197)"	NA	NA	"endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)"
"SORBI_3003G352300"	"Triosephosphate isomerase"	"OS01G0841600 PROTEIN (PTHR21139:SF37)"	"isomerase(PC00135)"	"triose-phosphate isomerase activity(GO:0004807);isomerase activity(GO:0016853)"	"gluconeogenesis(GO:0006094);glycolytic process(GO:0006096);response to zinc ion(GO:0010043);glycerol catabolic process(GO:0019563);glyceraldehyde-3-phosphate biosynthetic process(GO:0046166)"	"mitochondrion(GO:0005739);cytosol(GO:0005829)"
"SORBI_3006G029800"	"Lactoylglutathione lyase"	"LACTOYLGLUTATHIONE LYASE (PTHR10374:SF30)"	"lyase(PC00144)"	"lactoylglutathione lyase activity(GO:0004462);lyase activity(GO:0016829);metal ion binding(GO:0046872)"	"methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione(GO:0019243)"	NA
"SORBI_3001G044800"	"galactinol--sucrose galactosyltransferase"	"GALACTINOL--SUCROSE GALACTOSYLTRANSFERASE 2-RELATED (PTHR31268:SF32)"	NA	"raffinose alpha-galactosidase activity(GO:0052692)"	NA	NA
"SORBI_3002G369600"	"Glycosyltransferase"	"GLYCOSYLTRANSFERASE (PTHR48049:SF89)"	"glycosyltransferase(PC00111)"	"glycosyltransferase activity(GO:0016757);UDP-glucosyltransferase activity(GO:0035251);anthocyanidin 3-O-glucosyltransferase activity(GO:0047213);quercetin 3-O-glucosyltransferase activity(GO:0080043)"	NA	NA
"SORBI_3007G173300"	"rhamnogalacturonan endolyase"	"RHAMNOGALACTURONAN ENDOLYASE (PTHR32018:SF1)"	"lyase(PC00144)"	"catalytic activity(GO:0003824);lyase activity(GO:0016829);carbohydrate binding(GO:0030246);rhamnogalacturonan endolyase activity(GO:0102210)"	"carbohydrate metabolic process(GO:0005975);catabolic process(GO:0009056)"	"extracellular region(GO:0005576)"
"SORBI_3003G415600"	"Knottin scorpion toxin-like domain-containing protein"	"KNOTTIN SCORPION TOXIN-LIKE DOMAIN-CONTAINING PROTEIN (PTHR33147:SF152)"	"antimicrobial response protein(PC00051)"	NA	"defense response(GO:0006952)"	NA
"SORBI_3001G135100"	"Magnesium transporter"	"MAGNESIUM TRANSPORTER MRS2 HOMOLOG, MITOCHONDRIAL (PTHR13890:SF0)"	"RNA splicing factor(PC00148)"	"magnesium ion transmembrane transporter activity(GO:0015095)"	"monoatomic ion transport(GO:0006811);thylakoid membrane organization(GO:0010027);photoprotection(GO:0010117);magnesium ion homeostasis(GO:0010960);magnesium ion transport(GO:0015693);magnesium ion transmembrane transport(GO:1903830)"	"chloroplast envelope(GO:0009941);membrane(GO:0016020)"
"SORBI_3006G190800"	"BZIP domain-containing protein"	"ABSCISIC ACID-INSENSITIVE 5-LIKE PROTEIN 5 (PTHR22952:SF485)"	"basic leucine zipper transcription factor(PC00056)"	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	"regulation of DNA-templated transcription(GO:0006355);abscisic acid-activated signaling pathway(GO:0009738);positive regulation of DNA-templated transcription(GO:0045893)"	"nucleus(GO:0005634)"
"SORBI_3004G066600"	"Two-component response regulator"	"TWO-COMPONENT RESPONSE REGULATOR ARR10 (PTHR43874:SF7)"	"winged helix/forkhead transcription factor(PC00246)"	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	"phosphorelay signal transduction system(GO:0000160);regulation of DNA-templated transcription(GO:0006355);cytokinin-activated signaling pathway(GO:0009736)"	"nucleus(GO:0005634)"
"SORBI_3008G186800"	"Epidermal patterning factor-like protein"	"EPIDERMAL PATTERNING FACTOR-LIKE PROTEIN (PTHR33109:SF76)"	NA	NA	"guard cell differentiation(GO:0010052);stomatal complex development(GO:0010374)"	"extracellular region(GO:0005576)"
"SORBI_3009G164100"	"UBC core domain-containing protein"	"UBC CORE DOMAIN-CONTAINING PROTEIN (PTHR24067:SF365)"	"ubiquitin-protein ligase(PC00234)"	"ATP binding(GO:0005524);transferase activity(GO:0016740);ubiquitin conjugating enzyme activity(GO:0061631)"	"protein polyubiquitination(GO:0000209);ubiquitin-dependent protein catabolic process(GO:0006511)"	NA
"SORBI_3003G170032"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3006G132100"	"chitinase"	"CHITINASE (PTHR22595:SF204)"	NA	"chitinase activity(GO:0004568);endochitinase activity(GO:0008843);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	"polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);chitin catabolic process(GO:0006032);cell wall macromolecule catabolic process(GO:0016998)"	NA
